base.id,base.currenthp,base.morale,base.populationList,base.status
3,70,67,7,war

0,16,48,12,peace
1,100,31,4,peace
2,10,59,3,peace
3,70,66,7,peace

0,16,67,12,peace
1,100,30,4,peace
2,10,58,3,peace
3,70,65,7,peace

0,16,66,12,peace
1,100,29,4,peace
2,10,57,3,peace
3,70,64,7,peace

0,16,65,12,peace
1,100,28,4,peace
2,10,56,3,peace
3,70,63,7,peace

0,16,84,12,peace
1,100,27,4,peace
2,10,55,3,peace
3,70,82,7,peace

0,16,83,12,peace
1,100,26,4,peace
2,10,54,3,peace
3,70,81,7,peace

0,16,82,12,peace
1,100,25,4,peace
2,10,53,3,peace
3,70,80,7,peace

0,16,81,12,peace
1,100,24,4,peace
2,10,52,3,peace
3,70,79,7,peace

0,16,50,13,peace
1,100,23,4,peace
2,10,51,3,peace
3,70,78,7,peace

0,16,50,14,peace
1,100,22,4,peace
2,10,50,3,peace
3,70,77,7,peace

0,16,49,14,peace
1,100,21,4,peace
2,10,49,3,peace
3,70,76,7,peace

0,16,48,14,peace
1,100,40,4,peace
2,10,48,3,peace
3,70,75,7,peace

0,16,50,15,peace
1,100,39,4,peace
2,10,47,3,peace
3,70,74,7,peace

0,16,89,15,peace
1,100,38,4,peace
2,10,46,3,peace
3,70,73,7,peace

0,16,50,16,peace
1,100,37,4,peace
2,10,45,3,peace
3,70,72,7,peace

0,16,69,16,peace
1,100,56,4,peace
2,10,44,3,peace
3,70,71,7,peace

0,16,88,16,peace
1,100,55,4,peace
2,10,43,3,peace
3,70,70,7,peace

0,16,50,17,peace
1,100,54,4,peace
2,10,42,3,peace
3,70,69,7,peace

0,16,49,17,peace
1,100,73,4,peace
2,10,61,3,peace
3,70,68,7,peace

0,16,68,17,peace
1,100,72,4,peace
2,10,60,3,peace
3,70,67,7,peace

0,16,67,17,war
1,100,91,4,peace
2,10,59,3,peace
3,70,76,6,war

0,16,66,17,war
1,100,90,4,peace
2,10,58,3,peace
3,70,75,6,war

0,16,85,17,war
1,100,89,4,peace
2,10,57,3,peace
3,70,74,6,war

0,16,84,17,war
1,100,88,4,peace
2,10,56,3,peace
3,70,93,6,war

0,16,83,17,war
1,100,50,5,peace
2,10,55,3,peace
3,70,92,6,war

0,16,50,18,war
1,100,69,5,peace
2,10,54,3,peace
3,70,91,6,war

0,16,49,18,war
1,100,68,5,peace
2,10,53,3,peace
3,70,90,6,war

0,16,48,18,war
1,100,67,5,peace
2,10,52,3,peace
3,70,89,6,war

0,16,47,18,war
1,100,66,5,peace
2,10,51,3,peace
3,70,50,7,war

0,16,46,18,war
1,100,65,5,peace
2,10,50,3,peace
3,68,89,7,war

0,16,65,18,war
1,100,64,5,peace
2,10,49,3,peace
3,64,88,7,war

0,16,64,18,war
1,100,63,5,peace
2,10,48,3,peace
3,60,87,7,war

0,16,63,18,war
1,100,62,5,peace
2,10,47,3,peace
3,56,86,7,war

0,16,62,18,war
1,100,61,5,peace
2,10,46,3,peace
3,50,85,7,war

0,16,61,17,war
1,100,60,5,peace
2,10,45,3,peace
3,44,84,7,war

0,16,60,17,war
1,100,79,5,peace
2,10,44,3,peace
3,38,83,7,war

0,16,79,17,war
1,100,78,5,peace
2,10,43,3,peace
3,34,82,7,war

0,14,98,17,war
1,100,77,5,peace
2,10,42,3,peace
3,28,81,7,war

0,12,97,17,war
1,100,76,5,peace
2,10,41,3,peace
3,22,70,6,war

0,10,50,18,war
1,100,75,5,peace
2,10,40,3,peace
3,16,69,6,war

0,10,49,18,war
1,100,74,5,peace
2,10,29,2,war
3,10,68,6,war

0,10,48,18,war
1,100,73,5,peace
2,10,28,2,war
3,4,87,6,war

0,10,67,24,peace
1,100,72,5,peace
2,10,27,2,war

0,10,50,25,peace
1,100,71,5,peace
2,10,26,2,war

0,10,50,26,war
1,100,60,4,war
2,10,25,2,war

0,10,69,26,war
1,100,59,4,war
2,10,24,2,war

0,10,88,26,war
1,100,78,4,war
2,10,23,2,war

0,10,50,27,war
1,100,97,4,war
2,8,22,2,war

0,10,69,29,war
1,100,96,4,war

0,10,88,29,war
1,100,95,4,war

0,10,50,30,war
1,100,50,5,war

0,10,69,30,war
1,100,49,5,war

0,10,68,30,war
1,100,48,5,war

0,10,67,30,war
1,100,47,5,war

0,10,86,30,war
1,100,46,5,war

0,10,85,30,war
1,100,65,5,war

0,10,84,30,war
1,100,64,5,war

0,10,50,31,war
1,100,63,5,war

0,10,69,31,war
1,100,62,5,war

0,10,50,32,war
1,100,61,5,war

0,10,89,32,war
